region id,original country,city id,city,lat,lon,region,resources,neighbours,region link,zone_id,battle_start,current country,invader,invader allies,defender allies,battle url,invader points,defender points,war_type,div_1,epic_1,end_t_1,div_2,epic_2,end_t_2,div_3,epic_3,end_t_3,div_4,epic_4,end_t_4,div_air,epic_air,end_t_air
3,Romania,112,Constanta,44.1733333,28.6383333,Dobrogea,"Magnesium, Cobalt, Titanium, Wolfram","Muntenia, Bassarabia, Varna, Southern Basarabia, Black Sea Coast of Turkey, Taurida",https://www.erepublik.com/en/main/region/Dobrogea,,,Bulgaria,,,,,,,,,,,,,,,,,,,,,,
5,Romania,5,Bucharest,44.437711,26.0973669,Muntenia,,"Dobrogea, Oltenia, Ruse, Transilvania, Moldova, Varna",https://www.erepublik.com/en/main/region/Muntenia,13.0,1771152305.0,Romania,Latvia,Belgium,No Allies,https://www.erepublik.com/en/military/battlefield/869963,126.0,90.0,direct,10.900000000000006,0.0,,50.0,0.0,,85.84,0.0,,12.069999999999993,0.0,,44.14,0.0,
9,Romania,120,Craiova,44.32476,23.813471,Oltenia,,"Muntenia, Transilvania, Banat, Vidin, Ruse, Eastern Serbia",https://www.erepublik.com/en/main/region/Oltenia,,,Romania,,,,,,,,,,,,,,,,,,,,,,
11,Romania,115,Timisoara,45.755539,21.237499,Banat,,"Crisana, Southern Great Plain, Transilvania, Oltenia, Vojvodina, Eastern Serbia",https://www.erepublik.com/en/main/region/Banat,2.0,1771149727.0,Republic of China (Taiwan),Romania,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870168,5.0,13.0,direct,50.0,0.0,,16.709999999999994,0.0,1771155184.0,48.19,0.0,1771155184.0,35.19,0.0,1771155184.0,28.980000000000004,0.0,
35,Romania,116,Cluj-Napoca,46.777248,23.5998899,Transilvania,"Grain, Fruits, Cattle, Deer","Maramures, Crisana, Bucovina, Moldova, Muntenia, Oltenia, Banat",https://www.erepublik.com/en/main/region/Transilvania,4.0,1771153688.0,Romania,Cuba,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870130,14.0,40.0,direct,28.269999999999996,0.0,,28.269999999999996,0.0,,28.269999999999996,0.0,,100.0,0.0,,100.0,0.0,
36,Romania,121,Oradea,47.0722222,21.9211111,Crisana,,"Maramures, Transilvania, Banat, Northern Great Plain, Southern Great Plain",https://www.erepublik.com/en/main/region/Crisana,1.0,1771151002.0,Cuba,North Macedonia,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870231,0.0,0.0,direct,50.0,0.0,,0.0,0.0,,50.0,0.0,,37.86,0.0,,41.41,0.0,
37,Romania,114,Iasi,47.1569444,27.5902778,Moldova,"Aluminum, Oil","Bucovina, Chisinau, Transilvania, Southern Basarabia, Muntenia, Northern Basarabia",https://www.erepublik.com/en/main/region/Moldova,,,Latvia,,,,,,,,,,,,,,,,,,,,,,
38,Romania,253,Baia Mare,47.6666667,23.5833333,Maramures,,"Transilvania, Crisana, Subcarpathia, Northern Great Plain, Bucovina, Bukovyna",https://www.erepublik.com/en/main/region/Maramures,,,North Macedonia,,,,,,,,,,,,,,,,,,,,,,
39,Romania,252,Botosani,47.746231,26.666809,Bucovina,,"Moldova, Bukovyna, Northern Basarabia, Maramures, Transilvania",https://www.erepublik.com/en/main/region/Bucovina,2.0,1771148706.0,North Macedonia,Romania,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870151,15.0,16.0,direct,100.0,0.0,1771154943.0,50.0,0.0,1771154164.0,3.2900000000000063,0.0,1771154164.0,57.52,0.0,,65.47,0.0,1771154704.0
40,USA,188,Montgomery,32.3668052,-86.2999689,Alabama,,"Mississippi, Georgia, Florida, Tennessee",https://www.erepublik.com/en/main/region/Alabama,1.0,1771153222.0,Argentina,USA,No Allies,No Allies,https://www.erepublik.com/en/military/battlefield/870247,0.0,0.0,direct,40.0,0.0,,50.0,0.0,,50.0,0.0,,0.0,0.0,,35.620000000000005,0.0,
