region id,original country,city id,city,lat,lon,region,resources,neighbours,region link
3,Romania,112,Constanta,44.1733333,28.6383333,Dobrogea,"Magnesium, Cobalt, Titanium, Wolfram","Muntenia, Bassarabia, Varna, Southern Basarabia, Black Sea Coast of Turkey, Taurida",https://www.erepublik.com/en/main/region/Dobrogea
5,Romania,5,Bucharest,44.437711,26.0973669,Muntenia,,"Dobrogea, Oltenia, Ruse, Transilvania, Moldova, Varna",https://www.erepublik.com/en/main/region/Muntenia
9,Romania,120,Craiova,44.32476,23.813471,Oltenia,,"Muntenia, Transilvania, Banat, Vidin, Ruse, Eastern Serbia",https://www.erepublik.com/en/main/region/Oltenia
11,Romania,115,Timisoara,45.755539,21.237499,Banat,,"Crisana, Southern Great Plain, Transilvania, Oltenia, Vojvodina, Eastern Serbia",https://www.erepublik.com/en/main/region/Banat
35,Romania,116,Cluj-Napoca,46.777248,23.5998899,Transilvania,"Grain, Fruits, Cattle, Deer","Maramures, Crisana, Bucovina, Moldova, Muntenia, Oltenia, Banat",https://www.erepublik.com/en/main/region/Transilvania
36,Romania,121,Oradea,47.0722222,21.9211111,Crisana,,"Maramures, Transilvania, Banat, Northern Great Plain, Southern Great Plain",https://www.erepublik.com/en/main/region/Crisana
37,Romania,114,Iasi,47.1569444,27.5902778,Moldova,"Aluminum, Oil","Bucovina, Chisinau, Transilvania, Southern Basarabia, Muntenia, Northern Basarabia",https://www.erepublik.com/en/main/region/Moldova
38,Romania,253,Baia Mare,47.6666667,23.5833333,Maramures,,"Transilvania, Crisana, Subcarpathia, Northern Great Plain, Bucovina, Bukovyna",https://www.erepublik.com/en/main/region/Maramures
39,Romania,252,Botosani,47.746231,26.666809,Bucovina,,"Moldova, Bukovyna, Northern Basarabia, Maramures, Transilvania",https://www.erepublik.com/en/main/region/Bucovina
40,USA,188,Montgomery,32.3668052,-86.2999689,Alabama,,"Mississippi, Georgia, Florida, Tennessee",https://www.erepublik.com/en/main/region/Alabama
41,USA,211,Juneau,58.3019444,-134.4197222,Alaska,,"Yukon, British Columbia, Far Eastern Russia, Washington, Hokkaido",https://www.erepublik.com/en/main/region/Alaska
42,USA,175,Phoenix,33.4483771,-112.0740373,Arizona,,"New Mexico, Utah, California, Northwest of Mexico, Nevada",https://www.erepublik.com/en/main/region/Arizona
43,USA,185,Little Rock,34.7464809,-92.2895948,Arkansas,,"Mississippi, Missouri, Tennessee, Oklahoma, Louisiana, Texas",https://www.erepublik.com/en/main/region/Arkansas
44,USA,173,Sacramento,38.5815719,-121.4943996,California,,"Nevada, Arizona, Oregon, Baja, Hawaii, Northwest of Mexico",https://www.erepublik.com/en/main/region/California
45,USA,32,Denver,39.737567,-104.9847179,Colorado,,"Utah, Wyoming, New Mexico, Nebraska, Kansas, Oklahoma",https://www.erepublik.com/en/main/region/Colorado
46,USA,203,Hartford,41.7637111,-72.6850932,Connecticut,,"New York, Rhode Island, Shannon, Cork, Wales, South West of England, Massachusetts",https://www.erepublik.com/en/main/region/Connecticut
47,USA,196,Dover,39.158168,-75.5243682,Delaware,,"Maryland, Pennsylvania, New Jersey, Pays de la Loire, Brittany",https://www.erepublik.com/en/main/region/Delaware
48,USA,189,Tallahassee,30.4382559,-84.2807329,Florida,,"Alabama, Georgia, Mississippi, Western Cuba, Las Villas",https://www.erepublik.com/en/main/region/Florida
49,USA,37,Atlanta,33.7489954,-84.3879824,Georgia,,"South Carolina, Alabama, Tennessee, Florida, Galicia, Azores, North Carolina",https://www.erepublik.com/en/main/region/Georgia
50,USA,212,Honolulu,21.3069444,-157.8583333,Hawaii,,"Kyushu, California, Eastern Taiwan, Visayas, Papua",https://www.erepublik.com/en/main/region/Hawaii
51,USA,171,Boise,43.613739,-116.237651,Idaho,,"Utah, Montana, Oregon, Washington, British Columbia, Nevada, Wyoming",https://www.erepublik.com/en/main/region/Idaho
52,USA,199,Springfield,39.80172,-89.64371,Illinois,,"Indiana, Missouri, Wisconsin, Iowa, Kentucky",https://www.erepublik.com/en/main/region/Illinois
53,USA,198,Indianapolis,39.7685155,-86.1580736,Indiana,,"Ohio, Kentucky, Illinois, Michigan",https://www.erepublik.com/en/main/region/Indiana
54,USA,183,Des Moines,41.6005448,-93.6091064,Iowa,,"Missouri, Nebraska, Wisconsin, Minnesota, Illinois, South Dakota",https://www.erepublik.com/en/main/region/Iowa
55,USA,213,Topeka,39.0558235,-95.6890185,Kansas,,"Missouri, Nebraska, Oklahoma, Colorado",https://www.erepublik.com/en/main/region/Kansas
56,USA,193,Frankfort,38.2009055,-84.8732835,Kentucky,"Saltpeter, Aluminum, Oil, Rubber","West Virginia, Ohio, Tennessee, Indiana, Virginia, Illinois, Missouri",https://www.erepublik.com/en/main/region/Kentucky
57,USA,186,Baton Rouge,30.4582829,-91.1403196,Louisiana,,"Texas, Mississippi, Arkansas",https://www.erepublik.com/en/main/region/Louisiana
58,USA,217,Augusta,44.31062,-69.77949,Maine,,"New Hampshire, Quebec, New Brunswick, Nova Scotia, Shannon, Cork, Wales, South West of England",https://www.erepublik.com/en/main/region/Maine
59,USA,195,Annapolis,38.9784453,-76.4921829,Maryland,,"District of Columbia, Delaware, Pennsylvania, Aquitaine, Poitou Charentes, Virginia, West Virginia",https://www.erepublik.com/en/main/region/Maryland
60,USA,206,Boston,42.3584308,-71.0597732,Massachusetts,,"Rhode Island, New Hampshire, Shannon, Cork, Wales, South West of England, New York, Vermont, Connecticut",https://www.erepublik.com/en/main/region/Massachusetts
61,USA,201,Lansing,42.732535,-84.5555347,Michigan,,"Ohio, Indiana, Wisconsin, Ontario, Manitoba, Minnesota",https://www.erepublik.com/en/main/region/Michigan
62,USA,182,Saint Paul,44.9537029,-93.0899578,Minnesota,,"Wisconsin, South Dakota, Iowa, Manitoba, Saskatchewan, North Dakota, Michigan",https://www.erepublik.com/en/main/region/Minnesota
63,USA,187,Jackson,32.2987573,-90.1848103,Mississippi,,"Louisiana, Alabama, Arkansas, Tennessee, Florida",https://www.erepublik.com/en/main/region/Mississippi
64,USA,184,Jefferson City,38.5767017,-92.1735164,Missouri,,"Iowa, Arkansas, Kansas, Illinois, Oklahoma, Kentucky, Tennessee, Nebraska",https://www.erepublik.com/en/main/region/Missouri
65,USA,170,Helena,46.5958056,-112.0270306,Montana,,"Idaho, North Dakota, Wyoming, British Columbia, Saskatchewan, Alberta, South Dakota",https://www.erepublik.com/en/main/region/Montana
66,USA,180,Lincoln,40.806862,-96.681679,Nebraska,,"Iowa, Colorado, Kansas, South Dakota, Missouri, Wyoming",https://www.erepublik.com/en/main/region/Nebraska
67,USA,174,Carson City,39.1637984,-119.7674034,Nevada,,"Utah, California, Oregon, Arizona, Idaho",https://www.erepublik.com/en/main/region/Nevada
68,USA,207,Concord,43.20814,-71.53757,New Hampshire,,"Massachusetts, Vermont, Maine, Quebec",https://www.erepublik.com/en/main/region/New-Hampshire
69,USA,210,Trenton,40.2170534,-74.7429384,New Jersey,,"Delaware, Pennsylvania, Wales, South West of England, Pays de la Loire, Brittany, New York",https://www.erepublik.com/en/main/region/New-Jersey
70,USA,177,Santa Fe,35.6869752,-105.937799,New Mexico,,"Colorado, Oklahoma, Arizona, Northwest of Mexico, Texas",https://www.erepublik.com/en/main/region/New-Mexico
71,USA,204,Albany,42.6525793,-73.7562317,New York,,"Vermont, Connecticut, Ontario, Quebec, Shannon, Cork, Wales, South West of England, Pennsylvania, Massachusetts, New Jersey",https://www.erepublik.com/en/main/region/New-York
72,USA,192,Raleigh,35.772096,-78.6386145,North Carolina,,"South Carolina, Virginia, Aquitaine, Tennessee, Georgia",https://www.erepublik.com/en/main/region/North-Carolina
73,USA,28,Bismarck,46.8083268,-100.7837392,North Dakota,,"Montana, South Dakota, Saskatchewan, Minnesota",https://www.erepublik.com/en/main/region/North-Dakota
74,USA,197,Columbus,39.9611755,-82.9987942,Ohio,,"West Virginia, Kentucky, Indiana, Michigan, Ontario, Pennsylvania",https://www.erepublik.com/en/main/region/Ohio
75,USA,179,Oklahoma City,35.4675602,-97.5164276,Oklahoma,,"Texas, Arkansas, Missouri, Kansas, New Mexico, Colorado",https://www.erepublik.com/en/main/region/Oklahoma
76,USA,172,Salem,44.9429,-123.0351,Oregon,,"Idaho, Washington, California, Nevada",https://www.erepublik.com/en/main/region/Oregon
77,USA,202,Harrisburg,40.2737002,-76.8844179,Pennsylvania,,"Maryland, Delaware, New Jersey, Ontario, Ohio, West Virginia, New York",https://www.erepublik.com/en/main/region/Pennsylvania
78,USA,205,Providence,41.8239891,-71.4128343,Rhode Island,,"Massachusetts, Connecticut, Shannon, Cork, Wales, South West of England",https://www.erepublik.com/en/main/region/Rhode-Island
79,USA,190,Columbia,34.0007104,-81.0348144,South Carolina,,"North Carolina, Georgia, Galicia",https://www.erepublik.com/en/main/region/South-Carolina
80,USA,181,Pierre,44.3683156,-100.3509665,South Dakota,,"Wyoming, Nebraska, North Dakota, Minnesota, Iowa, Montana",https://www.erepublik.com/en/main/region/South-Dakota
81,USA,191,Nashville,36.1666667,-86.7833333,Tennessee,,"Kentucky, Arkansas, Alabama, Georgia, Virginia, North Carolina, Mississippi, Missouri",https://www.erepublik.com/en/main/region/Tennessee
82,USA,178,Austin,30.267153,-97.7430608,Texas,,"Oklahoma, Louisiana, Northeast of Mexico, Northwest of Mexico, Arkansas, New Mexico",https://www.erepublik.com/en/main/region/Texas
83,USA,33,Salt Lake City,40.7607793,-111.8910474,Utah,,"Colorado, Idaho, Nevada, Wyoming, Arizona",https://www.erepublik.com/en/main/region/Utah
84,USA,209,Montpelier,44.2600593,-72.5753869,Vermont,,"New York, New Hampshire, Quebec, Massachusetts",https://www.erepublik.com/en/main/region/Vermont
85,USA,27,Richmond,37.5407246,-77.4360481,Virginia,"Grain, Fruits, Cattle, Deer","District of Columbia, West Virginia, North Carolina, Aquitaine, Asturias, Cantabria, Maryland, Tennessee, Kentucky",https://www.erepublik.com/en/main/region/Virginia
86,USA,215,Olympia,47.0378741,-122.9006951,Washington,,"Oregon, Idaho, British Columbia, Alaska",https://www.erepublik.com/en/main/region/Washington
87,USA,194,Charleston,38.34982,-81.63262,West Virginia,Iron,"Virginia, Ohio, Kentucky, Maryland, Pennsylvania",https://www.erepublik.com/en/main/region/West-Virginia
88,USA,200,Madison,43.0730517,-89.4012302,Wisconsin,,"Iowa, Michigan, Minnesota, Illinois",https://www.erepublik.com/en/main/region/Wisconsin
89,USA,176,Cheyenne,41.1399814,-104.8202462,Wyoming,,"Colorado, Utah, South Dakota, Montana, Idaho, Nebraska",https://www.erepublik.com/en/main/region/Wyoming
90,USA,24,Washington D.C.,38.8951118,-77.0363658,District of Columbia,Fish,"Virginia, Maryland",https://www.erepublik.com/en/main/region/District-of-Columbia
91,Republic of Moldova,271,Balti,47.75494,27.913,Northern Basarabia,"Fish, Iron","Chisinau, Bucovina, Transnistria, Podolia, Bukovyna, Moldova",https://www.erepublik.com/en/main/region/Northern-Basarabia
92,Republic of Moldova,274,Chisinau,47.026859,28.841551,Chisinau,"Fish, Iron, Magnesium","Northern Basarabia, Southern Basarabia, Moldova, Transnistria",https://www.erepublik.com/en/main/region/Chisinau
93,Republic of Moldova,272,Cahul,45.9075,28.19444,Southern Basarabia,"Iron, Limestone","Chisinau, Transnistria, Moldova, Dobrogea, Bassarabia",https://www.erepublik.com/en/main/region/Southern-Basarabia
94,Republic of Moldova,273,Tiraspol,46.845238,29.633101,Transnistria,"Sand, Clay, Wood","Bassarabia, Southern Basarabia, Northern Basarabia, Chisinau, Podolia",https://www.erepublik.com/en/main/region/Transnistria
95,Canada,19,Ottawa,45.4215296,-75.6971931,Ontario,,"Quebec, New York, Michigan, Ohio, Pennsylvania, Manitoba",https://www.erepublik.com/en/main/region/Ontario
96,Canada,226,Charlottetown,46.23824,-63.1310704,Prince Edward Island,,"New Brunswick, Nova Scotia, Newfoundland and Labrador",https://www.erepublik.com/en/main/region/Prince-Edward-Island
97,Canada,22,Edmonton,53.544389,-113.4909267,Alberta,,"British Columbia, Northwest Territories, Saskatchewan, Montana",https://www.erepublik.com/en/main/region/Alberta
98,Canada,223,Fredericton,45.9635895,-66.6431151,New Brunswick,,"Prince Edward Island, Quebec, Nova Scotia, Maine",https://www.erepublik.com/en/main/region/New-Brunswick
99,Canada,222,Halifax,44.6488625,-63.5753196,Nova Scotia,,"Prince Edward Island, New Brunswick, Maine, Pays de la Loire, Brittany, Newfoundland and Labrador",https://www.erepublik.com/en/main/region/Nova-Scotia
100,Canada,21,Quebec City,46.816667,-71.216667,Quebec,,"Ontario, New Brunswick, Vermont, New York, New Hampshire, Maine, Newfoundland and Labrador, Nunavut",https://www.erepublik.com/en/main/region/Quebec
101,Canada,220,Regina,50.4547222,-104.6066667,Saskatchewan,,"Alberta, Manitoba, Montana, North Dakota, Northwest Territories, Minnesota",https://www.erepublik.com/en/main/region/Saskatchewan
102,Canada,224,St. Johns,47.5605413,-52.7128315,Newfoundland and Labrador,,"Prince Edward Island, Nunavut, Mayo, Shannon, Cork, Scotland, Wales, South West of England, Quebec, Nova Scotia, Azores",https://www.erepublik.com/en/main/region/Newfoundland
103,Canada,219,Victoria,48.4284207,-123.3656444,British Columbia,,"Alberta, Yukon, Washington, Alaska, Idaho",https://www.erepublik.com/en/main/region/British-Columbia
104,Canada,23,Whitehorse,60.7211871,-135.0568449,Yukon,"Grain, Deer","Alaska, British Columbia, Northwest Territories",https://www.erepublik.com/en/main/region/Yukon
105,Canada,221,Winnipeg,49.8997541,-97.1374937,Manitoba,,"Saskatchewan, Minnesota, Ontario, Nunavut, Michigan",https://www.erepublik.com/en/main/region/Manitoba
106,Canada,218,Yellowknife,62.4539717,-114.3717886,Northwest Territories,"Iron, Saltpeter, Aluminum, Oil","Alberta, Yukon, Nunavut, Saskatchewan",https://www.erepublik.com/en/main/region/Northwest-Territories
107,Canada,275,Iqaluit,63.746693,-68.5169669,Nunavut,"Rubber, Granite, Neodymium, Cobalt","Newfoundland and Labrador, Manitoba, Quebec, Northwest Territories",https://www.erepublik.com/en/main/region/Nunavut
108,Hungary,131,Gyor,47.684051,17.6351011,Western Transdanubia,"Fish, Fruits, Cattle","Central Transdanubia, Bratislava, Burgenland, Southern Transdanubia, Western Slovakia, Northwest Croatia, Prekmurje",https://www.erepublik.com/en/main/region/Western-Transdanubia
109,Hungary,132,Pecs,46.0712989,18.2331874,Southern Transdanubia,"Magnesium, Titanium, Wolfram","Southern Great Plain, Central Transdanubia, Western Transdanubia, Slavonia",https://www.erepublik.com/en/main/region/Southern-Transdanubia
110,Hungary,276,Szekesfehervar,47.1887157,18.4138088,Central Transdanubia,"Fruits, Cattle, Iron, Aluminum","Central Hungary, Western Transdanubia, Southern Transdanubia, Southern Great Plain, Western Slovakia",https://www.erepublik.com/en/main/region/Central-Transdanubia
111,Hungary,12,Budapest,47.4984056,19.0407578,Central Hungary,,"Central Transdanubia, Northern Hungary, Northern Great Plain, Southern Great Plain, Western Slovakia",https://www.erepublik.com/en/main/region/Central-Hungary
112,Hungary,129,Miskolc,48.1043854,20.7913563,Northern Hungary,,"Central Hungary, Northern Great Plain, Eastern Slovakia, Central Slovakia, Subcarpathia",https://www.erepublik.com/en/main/region/Northern-Hungary
113,Hungary,128,Debrecen,47.5299739,21.6393571,Northern Great Plain,,"Northern Hungary, Southern Great Plain, Crisana, Maramures, Central Hungary, Subcarpathia",https://www.erepublik.com/en/main/region/Northern-Great-Plain
114,Hungary,130,Szeged,46.2536169,20.1461345,Southern Great Plain,,"Southern Transdanubia, Northern Great Plain, Banat, Crisana, Central Hungary, Central Transdanubia, Vojvodina, Slavonia",https://www.erepublik.com/en/main/region/Southern-Great-Plain
115,Mexico,53,Mexico City,19.4326077,-99.133208,Valley of Mexico,"Fish, Cattle","Oaxaca, Pacific Coast of Mexico, Northwest of Mexico, Northeast of Mexico, Gulf of Mexico",https://www.erepublik.com/en/main/region/Valley-of-Mexico
116,Mexico,277,Mexicali,32.6455704,-115.4453421,Baja,,"Northwest of Mexico, California",https://www.erepublik.com/en/main/region/Baja
117,Mexico,278,Culiacan,24.8048499,-107.385498,Northwest of Mexico,Titanium,"Northeast of Mexico, Baja, Arizona, New Mexico, Pacific Coast of Mexico, Texas, California, Valley of Mexico",https://www.erepublik.com/en/main/region/Northwest-of-Mexico
118,Mexico,582,Guadalajara,20.666667,-103.35,Pacific Coast of Mexico,Iron,"Valley of Mexico, Northwest of Mexico, Oaxaca",https://www.erepublik.com/en/main/region/Pacific-Coast-of-Mexico
119,Mexico,279,Oaxaca,17.0833333,-96.75,Oaxaca,,"Valley of Mexico, Gulf of Mexico, Southeast of Mexico, Pacific Coast of Mexico",https://www.erepublik.com/en/main/region/Oaxaca
120,Mexico,280,Veracruz,19.2,-96.13333,Gulf of Mexico,,"Oaxaca, Southeast of Mexico, Valley of Mexico, Northeast of Mexico",https://www.erepublik.com/en/main/region/Gulf-of-Mexico
121,Mexico,281,Campeche,18.931225,-90.2618068,Southeast of Mexico,,"Gulf of Mexico, Oaxaca, Caribe e Insular, Western Cuba, Las Villas",https://www.erepublik.com/en/main/region/Southeast-of-Mexico
122,Mexico,55,Monterrey,25.6732109,-100.309201,Northeast of Mexico,,"Northwest of Mexico, Texas, Valley of Mexico, Gulf of Mexico",https://www.erepublik.com/en/main/region/Northeast-of-Mexico
123,Venezuela,282,Barinas,8.630485,-70.209908,Venezuelan Andean,,"Central Western Venezuela, Orinoquia, Andina, Zulian, Central Venezuela, Llanos",https://www.erepublik.com/en/main/region/Venezuelan-Andean
124,Venezuela,63,Caracas,10.491016,-66.902061,Venezuelan Capital,"Iron, Oil","North Eastern Venezuela, Llanos, Central Venezuela",https://www.erepublik.com/en/main/region/Venezuelan-Capital
125,Venezuela,283,Valencia (Venezuela),10.174127,-67.999815,Central Venezuela,"Clay, Wood, Limestone, Granite","Central Western Venezuela, Venezuelan Capital, Llanos, Venezuelan Andean",https://www.erepublik.com/en/main/region/Central-Venezuela
126,Venezuela,284,Barquisimeto,10.0636111,-69.3347222,Central Western Venezuela,,"Venezuelan Andean, Zulian, Central Venezuela, Oriente",https://www.erepublik.com/en/main/region/Central-Western-Venezuela
127,Venezuela,285,Puerto Ayacucho,5.665781,-67.634697,Guayana,,"Llanos, North of Brazil, Canary Islands, Azores, Amazonica, Orinoquia, North Eastern Venezuela",https://www.erepublik.com/en/main/region/Guayana
